annotation_status,backend,bytes_shipped_p50,cardinality_candidates_p50,cardinality_predicate_matches_p50,cardinality_reached_p50,cardinality_seeds_p50,dataset,hit_at_1,hit_at_5,hops,is_default,k,latency_p50_ms,latency_p95_ms,latency_p99_ms,mrr,plan_id,predicate_placement,query_hop_limit,query_id,recall_at_20,repetitions,round_trips_p50,serialization_fraction_p50,shape,stage_ann_ms_p50,stage_filter_ms_p50,stage_merge_ms_p50,stage_traverse_ms_p50,template,valid_for_system_latency_claims
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,3,False,1,0.523784,0.5267666,0.52703172,1.0,traverse_first-4ee862e3f54f,during,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.014,0.066,0.41809799999999997,0.02,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,3.0,31.0,,,openevolve,1.0,1.0,3,False,10,0.502917,0.5071739999999999,0.5075523999999999,1.0,traverse_first-520420e3895b,post,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.011,0.051,0.42191699999999993,0.017,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,5.0,31.0,,,openevolve,0.0,1.0,5,False,5,0.545807,0.5468213000000001,0.54691146,0.5,traverse_first-58584ddc9129,post,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.01,0.08,0.42680700000000005,0.019,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,2.0,31.0,,,openevolve,1.0,1.0,2,False,10,0.495279,0.5026986,0.50335812,1.0,traverse_first-5be44627d46d,post,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.005,0.041,0.429279,0.017,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,2.0,31.0,,,openevolve,1.0,1.0,2,False,20,0.547555,0.5898118,0.59356796,1.0,traverse_first-5dac164247a2,post,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.013,0.064,0.44455500000000003,0.026,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,5.0,31.0,,,openevolve,0.0,1.0,5,False,20,0.665631,0.9075842999999999,0.92909126,0.5,traverse_first-62b9b3f6c548,during,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.014,0.121,0.483631,0.047,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,1,False,20,0.44933,0.4615412,0.46262664,1.0,traverse_first-6e5585f7fa7d,during,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.002,0.019,0.41533,0.014,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,3,False,1,0.50151,0.5084687999999999,0.50908736,1.0,traverse_first-70d454e2e64f,post,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.013,0.055,0.41751,0.016,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,1,False,20,0.582286,0.9171003999999999,0.9468616799999999,1.0,traverse_first-76359c42693a,post,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.005,0.055,0.501286,0.021,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,3.0,31.0,,,openevolve,1.0,1.0,3,False,31,0.517775,0.5415700999999999,0.54368522,1.0,traverse_first-782e67473b54,during,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.014,0.063,0.420775,0.02,ancestor_reuse,True
